variable,IPCC2006
Coal,1B1
Gas_Distribution,1B2biii5
Gas_Exploration,1B2biii1
Gas_LNG,1B2biii6
Gas_Processing_flare,1B2bii
Gas_Processing_fug,1B2biii3
Gas_Production_flare,1B2bii
Gas_Production_fug,1B2biii2
Gas_Storage,1B2biii4
Gas_Transmission_fug,1B2biii4
Gas_Transmission_vent,1B2bi
Oil_Exploration,1B2aiii1
Oil_Production_flare,1B2aii
Oil_Production_fug,1B2aiii2
Oil_Production_vent,1B2ai
Oil_Refining,1B2aiii4
Oil_Transport_fug,1B2aiii3
Oil_Transport_vent,1B2ai
